,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6
41,0.11317672312875561,0.27401430514475156,0.12783178024155814,0.004186370316472695,0.020428816369192186,0.4603620047992698
42,0.26594011199164985,0.15583991362002567,0.4540931664584541,0.04876960361707264,0.011856667094897865,0.0635005372178999
43,0.2998012593335278,0.16231823777784776,0.3702109035305984,0.012567659493341776,0.14409271654598882,0.011009223318695471
44,0.08242894254547041,0.720617768436777,0.1004146940198363,0.004111617499661948,0.08908364009942935,0.003343337398824961
45,0.033388105993181566,0.16801645227413148,0.7710013441851856,0.005278733880132622,0.013474847691274458,0.00884051597609434
46,0.12301818302437427,0.6181376744935086,0.08920485735428284,0.007499521457584934,0.13929798038319074,0.022841783287058548
47,0.561946767528541,0.008912392221599248,0.08106151722421964,0.15791973721950486,0.09810853036104249,0.0920510554450928
48,0.37529525760516214,0.04391893988301465,0.4714870275897538,0.10094981684284682,0.0035129219815291444,0.0048360360976934455
49,0.36344113603374806,0.42132518851057066,0.04071612200180897,0.01868852951928287,0.03711727565938642,0.11871174827520303
50,0.46278536105653234,0.2736625441088089,0.024053365512443785,0.07666345831474974,0.14481670414456355,0.01801856686290168
51,0.21444416281249598,0.006871769048427417,0.6809802852861444,0.002588784442755146,0.03433996278425997,0.06077503562591701
52,0.012792446992898717,0.15945860469091247,0.033167966615238735,0.004940490975181052,0.6214641431732337,0.1681763475525354
53,0.053680397916701324,0.012048670330472834,0.7695634068842342,0.08852623397198847,0.059034040645634576,0.01714725025096859
54,0.24354490033366005,0.34578379622224076,0.25340995285094287,0.13723537808530833,0.01745547697034946,0.0025704955374985274
55,0.2007678466287214,0.5153684555384515,0.018766926154558734,0.04680501719184513,0.015254579013280888,0.20303717547314243
56,0.1638002359916097,0.012656512023191508,0.01262517519969354,0.34653677546703043,0.4547685960522395,0.009612705266235255
57,0.47863282136274243,0.11954169873998172,0.04165992248062863,0.0726233534023172,0.23664266070428136,0.0508995433100487
58,0.2120827982411396,0.27018011314284224,0.4650535431057602,0.013469288196505575,0.02274231823074874,0.01647193908300369
59,0.45291848497430576,0.13900075820325955,0.08687765094009559,0.10118094727364817,0.16450916746547217,0.05551299114321878
60,0.534696821429883,0.15935594490477772,0.19122972624426782,0.035730542644338684,0.06185633574458908,0.01713062903214374
61,0.30492604103254695,0.08608959442643252,0.05445235380448724,0.5402034144293968,0.008185028015270098,0.006143568291866467
62,0.4343679820053185,0.11640663923792674,0.20580053111661814,0.053587564269444284,0.014127151635054023,0.1757101317356383
63,0.1257800257647623,0.30940275933654116,0.014388625714940742,0.10858015996602814,0.011803173319131348,0.4300452558985963
64,0.31198265395832275,0.03395469356371696,0.04986419625927262,0.17301976452251547,0.24908626977270082,0.18209242192347136
65,0.19662861849468427,0.4143330925055532,0.14253291145881625,0.008592627823790461,0.22882134040528984,0.009091409311865944
66,0.22245009359643347,0.5439971043160126,0.03334384665467571,0.03045105004336689,0.14605953523571397,0.023698370153797332
67,0.016666860720882894,0.10520443110461176,0.17250962508287662,0.6157498481346969,0.08288311066354828,0.006986124293383605
68,0.6176471058791618,0.1691724496950177,0.13766850391185417,0.022263069647645618,0.017610918435248007,0.035637952431072664
69,0.15839109265042214,0.34324412661537657,0.021446625649887256,0.031019251576687643,0.07981067892313867,0.36608822458448764
70,0.027560654633282593,0.16449391472696132,0.35282725605809545,0.027405212639487166,0.28404152371401786,0.14367143822815565
71,0.23626579506931206,0.5265652765588663,0.01246193149513227,0.1618868669121336,0.05862883378163188,0.004191296182923805
